Brand,seriesname,Background Template,colorcode,finish,colorname,Color Code + Color Name,,nominalsize_1,nominalsize_2,nominalsize_3,nominalsize_4,nominalsize_5,nominalsize_6,nominalsize_7,nominalsize_8,nominalsize_9,nominalsize_10
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,CS60,Glossy,White / Black / Matte,White / Black / Matte CS60,,1.5 Hexagon,,,,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,CS60,Matte,White / Black / Matte,White / Black / Matte CS60,,Basketweave,Penny Rounds,1.5 Hexagon,,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,CS61,Matte,White/Black/Balance/Matte,White/Black/Balance/Matte CS61,,2X3 Cubist,,,,,,,,,
American Olean,Color Story Pinstripes,AO_Color Story Pinstripes.jpg,0014,Glossy,Balance,Balance 0014,,2X8 ,,,,,,,,,
American Olean,Color Story Pinstripes,AO_Color Story Pinstripes.jpg,0025,Glossy,Ice White,Ice White 0025,,2X8 ,,,,,,,,,
American Olean,Color Story Pinstripes,AO_Color Story Pinstripes.jpg,0055,Glossy,Stable,Stable 0055,,2X8 ,,,,,,,,,
American Olean,Color Story Pinstripes,AO_Color Story Pinstripes.jpg,0059,Glossy,Tranquility,Tranquility 0059,,2X8 ,,,,,,,,,
American Olean,Color Story Pinstripes,AO_Color Story Pinstripes.jpg,0082,Glossy,Wisdom,Wisdom 0082,,2X8 ,,,,,,,,,
American Olean,Color Story Pinstripes,AO_Color Story Pinstripes.jpg,0117,Glossy,Navy,Navy 0117,,2X8 ,,,,,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0006,Glossy,Shadow,Shadow 0006,,3X6 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0006,Matte,Shadow,Shadow 0006,,2X8 Rectangle,,,,,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0010,Glossy,Scarlet,Scarlet 0010,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0014,Glossy,Balance,Balance 0014,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0016,Matte,Matte Shadow,Matte Shadow 0016,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0017,Matte,Matte Storm Gray,Matte Storm Gray 0017,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0019,Glossy,Passion,Passion 0019,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0023,Glossy,Blush,Blush 0023,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0025,Glossy,Ice White,Ice White 0025,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0029,Glossy,Blaze,Blaze 0029,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
